PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;24;42;28079024_42_2;2019;10;1;01.27;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.27;V;01.30;V;01.28;V;01.27;V;01.25;V;01.24;V;01.23;V;01.23;V;01.23;V;01.23;V;01.23;V;01.22;V;01.23;V;01.25;V;01.26;V
28;79;24;43;28079024_43_2;2019;10;1;01.18;V;01.19;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.23;V;01.21;V;01.20;V;01.19;V;01.17;V;01.16;V;01.16;V;01.16;V;01.15;V;01.16;V;01.15;V;01.16;V;01.18;V;01.18;V
28;79;24;44;28079024_44_2;2019;10;1;00.09;V;00.07;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.06;V;00.06;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V
28;79;27;7;28079027_7_8;2019;10;1;5;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;14;V;8;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;7;V;10;V;13;V;4;V
28;79;27;8;28079027_8_8;2019;10;1;39;V;4;V;6;V;4;V;4;V;7;V;13;V;34;V;40;V;45;V;25;V;12;V;6;V;8;V;3;V;3;V;3;V;4;V;13;V;10;V;47;V;59;V;56;V;38;V
28;79;27;12;28079027_12_8;2019;10;1;46;V;5;V;7;V;5;V;6;V;9;V;14;V;40;V;49;V;66;V;37;V;15;V;8;V;11;V;5;V;4;V;4;V;6;V;15;V;12;V;58;V;75;V;77;V;44;V
28;79;27;14;28079027_14_6;2019;10;1;35.68;V;59.86;V;57.30;V;56.17;V;52.68;V;51.29;V;47.03;V;28.77;V;22.54;V;18.12;V;36.14;V;47.25;V;56.28;V;62.99;V;65.34;V;66.54;V;63.33;V;56.19;V;46.22;V;42.95;V;23.63;V;10.48;V;10.28;V;18.28;V
28;79;35;1;28079035_1_38;2019;10;1;15;V;13;V;14;V;13;V;13;V;13;V;14;V;14;V;13;V;14;V;14;V;13;V;13;V;15;V;15;V;15;V;15;V;15;V;16;V;16;V;16;V;15;V;14;V;14;V
28;79;35;6;28079035_6_48;2019;10;1;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V
28;79;35;7;28079035_7_8;2019;10;1;14;V;6;V;5;V;3;V;3;V;5;V;17;V;9;V;11;V;11;V;12;V;10;V;6;V;4;V;3;V;5;V;5;V;5;V;15;V;11;V;20;V;18;V;15;V;16;V
