PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;27;12;28079027_12_8;2017;10;01;00046;V;00005;V;00007;V;00005;V;00006;V;00009;V;00014;V;00040;V;00049;V;00066;V;00037;V;00015;V;00008;V;00011;V;00005;V;00004;V;00004;V;00006;V;00015;V;00012;V;00058;V;00075;V;00077;V;00044;V
28;079;27;14;28079027_14_6;2017;10;01;35.68;V;59.86;V;57.30;V;56.17;V;52.68;V;51.29;V;47.03;V;28.77;V;22.54;V;18.12;V;36.14;V;47.25;V;56.28;V;62.99;V;65.34;V;66.54;V;63.33;V;56.19;V;46.22;V;42.95;V;23.63;V;10.48;V;10.28;V;18.28;V
28;079;35;1;28079035_1_38;2017;10;01;00015;V;00013;V;00014;V;00013;V;00013;V;00013;V;00014;V;00014;V;00013;V;00014;V;00014;V;00013;V;00013;V;00015;V;00015;V;00015;V;00015;V;00015;V;00016;V;00016;V;00016;V;00015;V;00014;V;00014;V
28;079;35;6;28079035_6_48;2017;10;01;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V
28;079;35;7;28079035_7_8;2017;10;01;00014;V;00006;V;00005;V;00003;V;00003;V;00005;V;00017;V;00009;V;00011;V;00011;V;00012;V;00010;V;00006;V;00004;V;00003;V;00005;V;00005;V;00005;V;00015;V;00011;V;00020;V;00018;V;00015;V;00016;V
28;079;35;8;28079035_8_8;2017;10;01;00058;V;00037;V;00030;V;00030;V;00029;V;00028;V;00035;V;00038;V;00038;V;00033;V;00035;V;00036;V;00029;V;00027;V;00027;V;00031;V;00029;V;00031;V;00050;V;00045;V;00062;V;00064;V;00058;V;00049;V
28;079;35;12;28079035_12_8;2017;10;01;00080;V;00046;V;00037;V;00035;V;00034;V;00035;V;00062;V;00052;V;00055;V;00051;V;00053;V;00050;V;00039;V;00033;V;00033;V;00039;V;00036;V;00040;V;00074;V;00061;V;00093;V;00091;V;00081;V;00073;V
28;079;35;14;28079035_14_6;2017;10;01;19.18;V;30.64;V;32.42;V;29.48;V;28.44;V;27.93;V;24.89;V;18.21;V;17.23;V;21.75;V;23.35;V;25.13;V;31.45;V;36.71;V;43.94;V;43.22;V;45.42;V;46.29;V;24.84;V;22.05;V;12.04;V;08.38;V;08.96;V;16.42;V
28;079;36;1;28079036_1_38;2017;10;01;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V
28;079;36;6;28079036_6_48;2017;10;01;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V
28;079;36;7;28079036_7_8;2017;10;01;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00003;V;00006;V;00007;V;00007;V;00007;V;00005;V;00006;V;00003;V;00002;V;00003;V;00003;V;00005;V;00009;V;00013;V;00002;V;00002;V
28;079;36;8;28079036_8_8;2017;10;01;00044;V;00008;V;00007;V;00007;V;00007;V;00005;V;00007;V;00021;V;00024;V;00023;V;00027;V;00026;V;00018;V;00017;V;00014;V;00007;V;00006;V;00009;V;00016;V;00021;V;00038;V;00061;V;00041;V;00044;V
28;079;36;10;28079036_10_47;2017;10;01;00018;V;00023;V;00028;V;00023;V;00022;V;00022;V;00021;V;00023;V;00023;V;00024;V;00024;V;00025;V;00024;V;00021;V;00019;V;00009;V;00008;V;00009;V;00011;V;00014;V;00026;V;00022;V;00013;V;00010;V
28;079;36;12;28079036_12_8;2017;10;01;00047;V;00010;V;00008;V;00009;V;00009;V;00007;V;00010;V;00025;V;00029;V;00031;V;00037;V;00036;V;00028;V;00025;V;00023;V;00011;V;00009;V;00013;V;00021;V;00028;V;00052;V;00082;V;00045;V;00046;V
28;079;38;1;28079038_1_38;2017;10;01;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V
28;079;38;7;28079038_7_8;2017;10;01;00008;V;00002;V;00001;V;00001;V;00001;V;00002;V;00002;V;00004;V;00007;V;00008;V;00011;V;00014;V;00012;V;00010;V;00007;V;00003;V;00004;V;00008;V;00019;V;00013;V;00036;V;00028;V;00010;V;00005;V
28;079;38;8;28079038_8_8;2017;10;01;00035;V;00018;V;00014;V;00012;V;00012;V;00011;V;00016;V;00019;V;00028;V;00030;V;00032;V;00034;V;00029;V;00025;V;00023;V;00012;V;00014;V;00026;V;00043;V;00041;V;00075;V;00069;V;00046;V;00036;V
28;079;38;9;28079038_9_47;2017;10;01;00008;V;00009;V;00009;V;00009;V;00012;V;00012;V;00010;V;00009;V;00009;V;00010;V;00011;V;00009;V;00009;V;00006;V;00008;V;00007;V;00004;V;00004;V;00004;V;00007;V;00005;V;00008;V;00004;V;00004;V
28;079;38;10;28079038_10_47;2017;10;01;00016;V;00019;V;00019;V;00016;V;00018;V;00018;V;00016;V;00016;V;00017;V;00017;V;00017;V;00016;V;00016;V;00012;V;00012;V;00010;V;00007;V;00007;V;00007;V;00012;V;00012;V;00015;V;00009;V;00008;V
28;079;38;12;28079038_12_8;2017;10;01;00049;V;00022;V;00016;V;00014;V;00013;V;00014;V;00020;V;00024;V;00038;V;00042;V;00049;V;00056;V;00048;V;00041;V;00033;V;00017;V;00021;V;00038;V;00071;V;00060;V;00130;V;00111;V;00061;V;00043;V
28;079;38;20;28079038_20_59;2017;10;01;002.7;V;001.4;V;000.7;V;000.5;V;000.7;V;000.6;V;000.5;V;000.5;V;000.6;V;000.7;V;001.0;V;001.1;V;000.9;V;000.8;V;000.7;V;000.6;V;000.8;V;000.6;V;000.9;V;000.9;V;001.1;V;002.5;V;002.5;V;001.9;V
28;079;38;30;28079038_30_59;2017;10;01;000.4;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V;000.4;V
28;079;38;35;28079038_35_59;2017;10;01;000.7;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.6;V;000.6;V;000.5;V
28;079;39;6;28079039_6_48;2017;10;01;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;39;7;28079039_7_8;2017;10;01;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00007;V;00001;V;00001;V;00002;V;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N;00001;N
